feature,importance_mean,importance_std,importance_mean_clip,cumulative_importance_share,feature_origin
proto_i,0.22064212292846658,0.0022759063877156715,0.22064212292846658,0.3488338565725654,zeek/core
resp_bytes,0.10135324587306974,0.002790061448526054,0.10135324587306974,0.5090727228633543,zeek/core
orig_p,0.08698320182020632,0.003680623708278803,0.08698320182020632,0.6465926367639725,zeek/core
resp_pkts,0.07052174404156789,0.0015044306651398084,0.07052174404156789,0.7580870858733978,zeek/core
duration,0.0606496909844928,0.0025183567401600845,0.0606496909844928,0.8539738790444102,zeek/core
ebpf_bytes_sent,0.048129560600926324,0.0005029915146523678,0.048129560600926324,0.930066422103413,ebpf-derived
orig_pkts,0.03424359781187978,0.002139758663396027,0.03424359781187978,0.984205342310914,zeek/core
orig_bytes,0.008129738103306462,0.0003216456475756806,0.008129738103306462,0.997058408887058,zeek/core
ebpf_samples,0.0018605960852657421,0.0008088752441935961,0.0018605960852657421,1.0000000000000002,ebpf-derived
ebpf_retransmits,0.0,0.0,0.0,1.0000000000000002,ebpf-derived
dst_port,0.0,0.0,0.0,1.0000000000000002,zeek/core
src_port,0.0,0.0,0.0,1.0000000000000002,zeek/core
ebpf_bytes_recv,0.0,0.0,0.0,1.0000000000000002,ebpf-derived
ebpf_pid,0.0,0.0,0.0,1.0000000000000002,ebpf-derived
ebpf_state_changes,0.0,0.0,0.0,1.0000000000000002,ebpf-derived
ebpf_uid,0.0,0.0,0.0,1.0000000000000002,ebpf-derived
resp_p,-0.06503704958771028,0.003985286835606321,0.0,1.0000000000000002,zeek/core
