feature,importance_mean,importance_std
proto_i,0.2038261122137773,0.002095121023343725
orig_p,0.13748238692291553,0.003941626387922926
resp_bytes,0.1016116893385615,0.004673232195932363
duration,0.0866978748124122,0.002313413509472673
resp_pkts,0.02859919962563129,0.0009211819719275227
ebpf_samples,0.010512949605460564,0.0018416036713463765
orig_pkts,0.0011170386148358525,0.0007118198720447987
src_port,0.0,0.0
dst_port,0.0,0.0
ebpf_pid,0.0,0.0
ebpf_state_changes,0.0,0.0
ebpf_retransmits,0.0,0.0
ebpf_bytes_recv,0.0,0.0
ebpf_uid,0.0,0.0
orig_bytes,-0.012118281131497021,0.0016866298888362464
ebpf_bytes_sent,-0.04103064336544522,0.0009459819007549799
resp_p,-0.11463826628584343,0.0033545465314404103
