feature_set,model,split,role,threshold_mode,target_recall,train_f1,val_f1,test_f1,train_auc,val_auc,test_auc,test_precision,test_recall,test_fpr,gap_auc_train_test,gap_f1_train_test
baseline,hgb_balanced,split4_realistic,headline_generalization,matched_recall,0.5810446957458266,0.9392011714757076,0.19390482979860987,0.5150557180115387,0.9999594392908042,0.9720600366860482,0.920167789289307,0.8580564463797011,0.36796489657314085,0.050604518296485546,0.07979165000149724,0.4241454534641689
ebpf,hgb_balanced,split4_realistic,headline_generalization,matched_recall,0.5810446957458266,0.9445518942916638,0.20053898336585818,0.5143925001482017,0.9999831107275783,0.970352794266204,0.7115036211239696,0.8571603288990912,0.36745270272995284,0.05090627451769297,0.2884794896036087,0.43015939414346205
baseline,hgb_balanced,split4_balanced,balanced_support,matched_recall,0.5810446957458266,0.9392011714757076,0.19390482979860987,0.5454545454545454,0.9999594392908042,0.9720600366860482,0.921875,1.0,0.375,0.0,0.07808443929080422,0.39374662602116217
ebpf,hgb_balanced,split4_balanced,balanced_support,matched_recall,0.5810446957458266,0.9445518942916638,0.20053898336585818,0.5454545454545454,0.9999831107275783,0.970352794266204,0.59375,1.0,0.375,0.0,0.4062331107275783,0.39909734883711834
baseline,hgb_balanced,split2_balanced_quota,model_selection_context,matched_recall,0.5810446957458266,0.7317954314529785,0.736254145575144,0.7344354555047485,0.9994668496908075,0.9978877793226053,0.9982057916052502,0.9995213020584012,0.5804837364470392,0.0002760143527463428,0.0012610580855572096,-0.0026400240517699958
ebpf,hgb_balanced,split2_balanced_quota,model_selection_context,matched_recall,0.5810446957458266,0.7283498735896758,0.7354996505939903,0.722202486678508,0.9998614633403773,0.9988817926063491,0.999142068815435,1.0,0.5651932165693634,0.0,0.0007193945249422962,0.006147386911167896
baseline,hgb_balanced,split3_train_resampled,resampled_training,matched_recall,0.5810446957458266,0.9499283200834093,0.06269864201097948,0.12076124567474049,0.9993110756250001,0.9577697222646585,0.9968881794839527,0.06426072546492359,1.0,0.02047014468469049,0.0024228961410474037,0.8291670744086689
ebpf,hgb_balanced,split3_train_resampled,resampled_training,matched_recall,0.5810446957458266,0.9748121400144948,0.13890675241157557,0.2082139446036294,0.9996542494791667,0.9841587615956253,0.9988071552816915,0.11712034383954155,0.9369627507163324,0.009928946605226694,0.0008470941974751955,0.7665981954108654
baseline,hgb_balanced,split1_group_strat,leakage_diagnostic,matched_recall,0.5810446957458266,0.964048171758934,0.016247723132969034,0.02560716120038154,0.9991428157169505,0.9389912705807552,0.9856091992192063,0.012969638410940577,1.0,0.10698288918248317,0.013533616497744205,0.9384410105585524
ebpf,hgb_balanced,split1_group_strat,leakage_diagnostic,matched_recall,0.5810446957458266,0.9787474621750406,0.07434102141680396,0.07564755608540154,0.9997681329396592,0.9827587688168451,0.9990688117658649,0.03931065555305249,1.0,0.03435455805110688,0.0006993211737942318,0.9030999060896391
