split_name,role,attack,support_n,baseline_detected,ebpf_detected,detection_rate_baseline,baseline_low,baseline_high,detection_rate_ebpf,ebpf_low,ebpf_high,delta,baseline_detected_ebpf_missed,baseline_missed_ebpf_detected,discordant_total,ebpf_minus_baseline_discordant_delta,p_value_exact,p_value_holm,source
split4_realistic,headline,DDoS,86636,86624,86635,0.9998614894501131,0.9997578890262799,0.9999207622791029,0.9999884574541761,0.9999346135472766,0.9999979625067408,0.00012696800406297726,0,11,11,11,0.0009765625,0.001953125,split4_realistic
split4_realistic,headline,Bot,2208,0,0,0.0,0.0,0.0017368332343509591,0.0,0.0,0.0017368332343509591,0.0,0,0,0,0,1.0,1.0,split4_realistic
split4_realistic,headline,PortScan,159109,4614,4476,0.028998988115065773,0.02818575479687809,0.029834965009058675,0.02813165817144222,0.027330505694612334,0.028955596105482716,-0.0008673299436235543,142,4,146,-138,4.188799933293481e-37,1.2566399799880444e-36,split4_realistic
split2_support,support_only,WebAttack,270,264,266,0.9777777777777777,0.9523738665541401,0.9897766321283099,0.9851851851851852,0.962533267597707,0.9942242155604399,0.007407407407407418,0,2,2,2,0.5,1.0,split2_support
split2_support,support_only,DoS,783,783,783,1.0,0.9951176958615305,1.0,1.0,0.9951176958615305,1.0,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,DDoS,742,742,742,1.0,0.9948493084858767,0.9999999999999998,1.0,0.9948493084858767,0.9999999999999998,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,PortScan,732,731,731,0.9986338797814208,0.9923025232162899,0.9997588117231864,0.9986338797814208,0.9923025232162899,0.9997588117231864,0.0,1,1,2,0,1.0,1.0,split2_support
split2_support,support_only,BruteForce,719,719,719,1.0,0.9946854193228503,1.0,1.0,0.9946854193228503,1.0,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,Bot,349,348,348,0.997134670487106,0.9839500962292023,0.9994940328077364,0.997134670487106,0.9839500962292023,0.9994940328077364,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,Infiltration,2,2,2,1.0,0.34237195288961925,1.0,1.0,0.34237195288961925,1.0,0.0,0,0,0,0,1.0,1.0,split2_support
