split,role,model,feature_set,threshold_mode,target_recall,rows,attacks,test_f1,test_roc_auc,test_pr_auc,test_precision,test_recall,test_fpr
split2_balanced_quota,model_selection,hgb_balanced,baseline,matched_recall,0.5810446957458266,7220,3597,0.7344354555047485,0.9982057916052502,0.997882619560617,0.9995213020584012,0.5804837364470392,0.0002760143527463428
split2_balanced_quota,model_selection,hgb_balanced,ebpf,matched_recall,0.5810446957458266,7220,3597,0.722202486678508,0.999142068815435,0.9990631749617231,1.0,0.5651932165693634,0.0
split4_realistic,headline_generalization,hgb_balanced,baseline,matched_recall,0.5810446957458266,546207,247953,0.5150557180115387,0.920167789289307,0.8575172215506839,0.8580564463797011,0.36796489657314085,0.050604518296485546
split4_realistic,headline_generalization,hgb_balanced,ebpf,matched_recall,0.5810446957458266,546207,247953,0.5143925001482017,0.7115036219893844,0.7154877259841218,0.8571603288990912,0.36745270272995284,0.05090627451769297
split4_balanced,balanced_fairness,hgb_balanced,baseline,matched_recall,0.5810446957458266,16,8,0.5454545454545454,0.921875,0.906795634920635,1.0,0.375,0.0
split4_balanced,balanced_fairness,hgb_balanced,ebpf,matched_recall,0.5810446957458266,16,8,0.5454545454545454,0.59375,0.7364583333333333,1.0,0.375,0.0
split3_train_resampled,resampled_training,hgb_balanced,baseline,matched_recall,0.5810446957458266,248613,349,0.12076124567474049,0.9968881794839527,0.4515101532211481,0.06426072546492359,1.0,0.02047014468469049
split3_train_resampled,resampled_training,hgb_balanced,ebpf,matched_recall,0.5810446957458266,248613,349,0.2082139446036294,0.9988071552816915,0.8327377784588292,0.11712034383954155,0.9369627507163324,0.009928946605226694
split1_group_strat,leakage_diagnostic,hgb_balanced,baseline,matched_recall,0.5810446957458266,248613,349,0.02560716120038154,0.9856091992192063,0.05794148813393869,0.012969638410940577,1.0,0.10698288918248317
split1_group_strat,leakage_diagnostic,hgb_balanced,ebpf,matched_recall,0.5810446957458266,248613,349,0.07564755608540154,0.9990688117658649,0.5584390817692277,0.03931065555305249,1.0,0.03435455805110688
